Date,Revenue,COGS,Gross Profit,Selling & Promotion Expenses,Administrative Expenses,Research & Development Expenses,Net Income,% COGS,% Gross Profit,% Selling & Promotion Expenses,% Administrative Expenses,% Research & Development Expenses,% Net Income
2009/12/31,26.31,18.35,7.966,7.966,1.069,,4.488,69.75%,30.28%,30.28%,4.06%,0.00%,17.06%
2010/12/31,41.62,30.52,11.11,11.11,1.279,,6.75,73.33%,26.69%,26.69%,3.07%,0.00%,16.22%
2011/12/31,40.08,26.39,13.69,13.69,2.167,,14.62,65.84%,34.16%,34.16%,5.41%,0.00%,36.48%
2012/12/31,81.44,62.18,19.26,19.26,2.852,,20.21,76.35%,23.65%,23.65%,3.50%,0.00%,24.82%
2013/12/31,119.1,88.41,30.69,30.69,5.136,,20.41,74.23%,25.77%,25.77%,4.31%,0.00%,17.14%
2014/12/31,161.8,119.9,41.87,3.194,5.294,,20,74.10%,25.88%,1.97%,3.27%,0.00%,12.36%
2015/12/31,182.3,140.9,41.44,3.709,6.074,,24.71,77.29%,22.73%,2.03%,3.33%,0.00%,13.55%
2016/12/31,222.2,165.8,56.46,5.245,8.789,,31.64,74.62%,25.41%,2.36%,3.96%,0.00%,14.24%
2017/12/31,318.2,232,86.21,6.095,12.68,,61.49,72.91%,27.09%,1.92%,3.98%,0.00%,19.32%
2018/12/31,423.7,317.5,106.1,11.53,21.22,,71.18,74.94%,25.04%,2.72%,5.01%,0.00%,16.80%
2019/12/31,564.5,423.3,141.2,15.8,31.48,,92.42,74.99%,25.01%,2.80%,5.58%,0.00%,16.37%
2020/12/31,718,561.9,156.1,20.67,29.46,,119,78.26%,21.74%,2.88%,4.10%,0.00%,16.57%
2021/12/31,1078,870.4,208,23.67,37.67,,123.3,80.74%,19.29%,2.20%,3.49%,0.00%,11.44%
